LGA,lga_code,Number of small businesses (1-19 employees),Number of businesses with employees,Number of businesses with no employees,Top employing industries (1st) name,Top employing industries (2nd) name,Top employing industries (3rd) name
Armidale Regional (A),10130,1098,1144,1800,Education and Training,Health Care and Social Assistance,Retail Trade
Ballina (A),10250,1651,1729,2713,Health Care and Social Assistance,Retail Trade,Education and Training
Bega Valley (A),10550,1341,1380,1664,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services
Bellingen (A),10600,409,421,757,Health Care and Social Assistance,Education and Training,Retail Trade
Blue Mountains (C),10900,2182,2263,3293,Education and Training,Health Care and Social Assistance,Public Administration and Safety
Byron (A),11350,1647,1735,2935,Health Care and Social Assistance,Accommodation and Food Services,Retail Trade
Central Coast (C) (NSW),11650,10161,10621,12857,Health Care and Social Assistance,Construction,Retail Trade
Cessnock (C),11720,1217,1297,1615,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services
Clarence Valley (A),11730,1336,1401,2466,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services
Coffs Harbour (C),11800,2526,2667,3273,Health Care and Social Assistance,Retail Trade,Construction
Eurobodalla (A),12750,1222,1276,1640,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services
Glen Innes Severn (A),13010,390,398,679,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Retail Trade
Greater Hume Shire (A),13340,497,511,866,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Education and Training
Gwydir (A),13660,257,261,486,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Education and Training
Hawkesbury (C),13800,3181,3322,3637,Construction,Health Care and Social Assistance,Retail Trade
Inverell (A),14200,613,641,1088,Health Care and Social Assistance,"Agriculture, Forestry and Fishing",Retail Trade
Kempsey (A),14350,764,806,1413,Health Care and Social Assistance,Retail Trade,Construction
Ku-ring-gai (A),14500,5172,5329,9296,"Professional, Scientific and Technical Services",Health Care and Social Assistance,Financial and Insurance Services
Kyogle (A),14550,261,268,823,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Retail Trade
Lake Macquarie (C),14650,5719,5961,7164,Health Care and Social Assistance,Retail Trade,Construction
Lismore (C),14850,1369,1435,2593,Health Care and Social Assistance,Retail Trade,Education and Training
Lithgow (C),14870,498,516,747,Health Care and Social Assistance,Retail Trade,Public Administration and Safety
Mid-Coast (A),15240,2494,2600,4176,Health Care and Social Assistance,Retail Trade,Construction
Mid-Western Regional (A),15270,985,1023,1516,Mining,Retail Trade,Health Care and Social Assistance
Muswellbrook (A),15650,389,417,601,Mining,Retail Trade,Health Care and Social Assistance
Nambucca (A),15700,499,523,923,Health Care and Social Assistance,Construction,Retail Trade
Narrabri (A),15750,633,647,1125,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Retail Trade
Oberon (A),16100,186,191,470,"Agriculture, Forestry and Fishing",Manufacturing,Health Care and Social Assistance
Penrith (C),16350,6208,6508,7734,Construction,Health Care and Social Assistance,Retail Trade
Port Macquarie-Hastings (A),16380,2591,2692,3682,Health Care and Social Assistance,Retail Trade,Construction
Queanbeyan-Palerang Regional (A),16490,1786,1873,2778,Public Administration and Safety,Construction,Health Care and Social Assistance
Richmond Valley (A),16610,490,512,1141,Manufacturing,Health Care and Social Assistance,Retail Trade
Shoalhaven (C),16950,3073,3218,3931,Health Care and Social Assistance,Retail Trade,Construction
Singleton (A),17000,733,782,1262,Mining,Health Care and Social Assistance,Accommodation and Food Services
Snowy Monaro Regional (A),17040,1040,1081,1350,Accommodation and Food Services,"Agriculture, Forestry and Fishing",Retail Trade
Snowy Valleys (A),17080,551,578,914,"Agriculture, Forestry and Fishing",Manufacturing,Health Care and Social Assistance
Sutherland Shire (A),17150,9211,9558,12778,Health Care and Social Assistance,Construction,Education and Training
Tamworth Regional (A),17310,2033,2136,3256,Health Care and Social Assistance,Retail Trade,Education and Training
Tenterfield (A),17400,277,281,681,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Retail Trade
Tweed (A),17550,2626,2753,4665,Health Care and Social Assistance,Retail Trade,Construction
Upper Hunter Shire (A),17620,561,588,1104,"Agriculture, Forestry and Fishing",Mining,Health Care and Social Assistance
Upper Lachlan Shire (A),17640,446,457,691,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Public Administration and Safety
Uralla (A),17650,236,243,415,"Agriculture, Forestry and Fishing",Education and Training,Health Care and Social Assistance
Walcha (A),17850,241,244,373,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Education and Training
Wingecarribee (A),18350,2123,2201,3394,Health Care and Social Assistance,Construction,Retail Trade
Wollondilly (A),18400,2158,2205,2300,Construction,Health Care and Social Assistance,Retail Trade
East Gippsland (S),22110,1534,1609,2807,Health Care and Social Assistance,Retail Trade,Education and Training
Towong (S),26670,262,268,642,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Construction
Bundaberg (R),31820,2481,2673,3795,Health Care and Social Assistance,Retail Trade,"Agriculture, Forestry and Fishing"
Gladstone (R),33360,1315,1401,2321,Manufacturing,Construction,Retail Trade
Gold Coast (C),33430,22624,24057,43467,Health Care and Social Assistance,Construction,Retail Trade
Gympie (R),33620,1525,1594,2847,Health Care and Social Assistance,Retail Trade,Construction
Ipswich (C),33960,3358,3557,5810,Health Care and Social Assistance,Retail Trade,Manufacturing
Livingstone (S),34530,1107,1149,1763,Health Care and Social Assistance,Education and Training,Construction
Lockyer Valley (R),34580,1014,1077,1991,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Education and Training
Noosa (S),35740,2646,2646,4259,Health Care and Social Assistance,Accommodation and Food Services,Retail Trade
Scenic Rim (R),36510,1469,1469,2962,Construction,Health Care and Social Assistance,Education and Training
Somerset (R),36580,603,603,1472,Manufacturing,Health Care and Social Assistance,Construction
Southern Downs (R),36660,1383,1383,2759,"Agriculture, Forestry and Fishing",Retail Trade,Health Care and Social Assistance
Sunshine Coast (R),36720,12193,12193,19503,Health Care and Social Assistance,Construction,Retail Trade
Toowoomba (R),36910,5673,5673,10295,Health Care and Social Assistance,Education and Training,Retail Trade
Adelaide Hills (DC),40120,1297,1297,2698,Health Care and Social Assistance,Education and Training,Construction
Kangaroo Island (DC),42750,273,273,446,"Agriculture, Forestry and Fishing",Accommodation and Food Services,Retail Trade
Kingston (DC) (SA),43360,138,138,178,"Agriculture, Forestry and Fishing",Retail Trade,Health Care and Social Assistance
Lower Eyre Peninsula (DC),43710,243,243,372,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Construction
Mid Murray (DC),44210,287,287,457,"Agriculture, Forestry and Fishing",Retail Trade,Health Care and Social Assistance
Mount Barker (DC),44550,937,937,1957,Health Care and Social Assistance,Retail Trade,Education and Training
Playford (C),45680,1023,1023,2334,Health Care and Social Assistance,Retail Trade,Manufacturing
Yorke Peninsula (DC),48830,514,514,793,"Agriculture, Forestry and Fishing",Health Care and Social Assistance,Retail Trade
Break O'Day (M),60210,203,203,319,Health Care and Social Assistance,Accommodation and Food Services,"Agriculture, Forestry and Fishing"
